"Name","Calls","TotalDurationNs","AverageNs","Percentage"
hipMemcpyHtoD,2,280704016,140352008,99.66642157906861
hipModuleLoad,1,606382,606382,0.21530124474584925
hipDeviceSynchronize,2,159337,79668,0.05657399862474378
hipMalloc,2,134571,67285,0.04778061322185302
hipExtModuleLaunchKernel,10,20998,2099,0.007455523971973678
hipFree,2,7445,3722,0.002643412514112965
hipCtxCreate,1,3326,3326,0.0011809254562712855
hipModuleGetFunction,2,3206,1603,0.0011383184043312511
hipInit,1,2534,2534,0.0008997189134670587
hipCtxDestroy,1,972,972,0.00034511712071427824
hipDeviceGet,1,731,731,0.0002595479580680426
