"Name","Calls","TotalDurationNs","AverageNs","Percentage"
hipMemcpyHtoD,2,304654706,152327353,52.70166350659353
hipDeviceSynchronize,8,254019602,31752450,43.94238895716521
hipExtModuleLaunchKernel,5000,18490329,3698,3.198608384812569
hipModuleLoad,1,797829,797829,0.13801498767526674
hipMalloc,2,79259,39629,0.013710870259358793
hipFree,2,20719,10359,0.003584142127754007
hipModuleGetFunction,2,5560,2780,0.0009618142878668024
hipCtxCreate,1,1653,1653,0.00028594946364097557
hipStreamCreate,1,1483,1483,0.0002565414728249043
hipInit,1,1402,1402,0.0002425294301419527
hipCtxDestroy,1,1322,1322,0.00022869037564027207
hipDeviceGet,1,310,310,5.3626336194012365e-05
