"Name","Calls","TotalDurationNs","AverageNs","Percentage"
hipMemcpyHtoD,2,278381232,139190616,99.70617610337202
hipModuleLoad,1,618034,618034,0.22135761954624664
hipDeviceSynchronize,2,84338,42169,0.03020684770949713
hipMalloc,2,80830,40415,0.02895040788682033
hipExtModuleLaunchKernel,10,22222,2222,0.007959123642965747
hipFree,2,7383,3691,0.002644325886779593
hipModuleGetFunction,2,3246,1623,0.0011626008165361722
hipInit,1,1623,1623,0.0005813004082680861
hipCtxCreate,1,1453,1453,0.0005204125035203506
hipCtxDestroy,1,911,911,0.000326287536618747
hipDeviceGet,1,321,321,0.00011497069072954753
